date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:00	23544/23544	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Apr%202025%2003:16:04%20GMT	https://themes.sapo.vn/demo/mendover-theme	D:/TKW2023/theme-sapo/themes.sapo.vn/demo/mendover-theme.html	(from )
10:16:00	103/103	---MCZ	200	added ('OK')	text/plain	etag:W/%223e6727d7de18d91:0%22	https://themes.sapo.vn/robots.txt		(from )
10:16:01	76115/76115	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Mar%202025%2005:00:47%20GMT	https://bizwebtheme.dktcdn.net/themes/2297/themestores/5727c713f4d2012482f1f346a5307434.jpg?1732586380637	D:/TKW2023/theme-sapo/bizwebtheme.dktcdn.net/themes/2297/themestores/5727c713f4d2012482f1f346a5307434e33d.jpg	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:01	168551/168551	---MCZ	200	added ('OK')	text/css	etag:W/%2212c9b99dfeb2d91:0%22	https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min3293.css	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:01	84384/84384	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d7bab9d6de18d91:0%22	https://themes.sapo.vn/Scripts/jquery-2.1.4.min.js	D:/TKW2023/theme-sapo/themes.sapo.vn/Scripts/jquery-2.1.4.min.js	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:01	51045/51045	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de179d6de18d91:0%22	https://themes.sapo.vn/Content/bootstrap/js/bootstrap.min.js	D:/TKW2023/theme-sapo/themes.sapo.vn/Content/bootstrap/js/bootstrap.min.js	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:02	50725/50725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fe637bd6de18d91:0%22	https://themes.sapo.vn/Content/fancybox/jquery.fancybox.js	D:/TKW2023/theme-sapo/themes.sapo.vn/Content/fancybox/jquery.fancybox.js	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:02	208237/208237	---MCZ	200	added ('OK')	text/css	etag:W/%225af964f7a755db1:0%22	https://www.sapo.vn/Themes/Portal/Default/StylesV2/dist/popup-register-default.min.css	D:/TKW2023/theme-sapo/www.sapo.vn/Themes/Portal/Default/StylesV2/dist/popup-register-default.min.css	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:02	142010/142010	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6765342da18d91:0%22	https://www.sapo.vn/Themes/Portal/Default/StylesV2/lib/selectize/selectize.min.js	D:/TKW2023/theme-sapo/www.sapo.vn/Themes/Portal/Default/StylesV2/lib/selectize/selectize.min.js	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:02	94043/94043	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2010%20Apr%202025%2003:16:06%20GMT	https://www.sapo.vn/variable-trial.js	D:/TKW2023/theme-sapo/www.sapo.vn/variable-trial.js	(from https://themes.sapo.vn/demo/mendover-theme)
